	class	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YLL004w	1	-2.11965	1.00628	-1.15783	-0.19600	1.45284	-0.36776	-0.95172	0.80017	1.28109	-0.02425	-1.63874	0.31926	0.66277	-0.02425	0.21621	0.62842	0.11316	
YLL045c	4	-0.01835	-1.16214	1.38776	-0.60679	-0.47918	-1.20468	-0.74386	-0.46736	-0.66114	2.75133	-0.39410	-0.07979	-0.24994	0.42357	-0.19795	0.81114	0.89149	
YLR029c	4	-0.31199	-0.91851	0.42377	-0.45409	0.06530	-0.76502	-0.53677	-0.35407	-0.79622	3.48264	-0.03323	-0.09463	-0.67046	0.50249	-0.07284	0.42129	0.11233	
YLR045c	3	-1.64677	-1.61786	-0.16269	0.34806	2.11160	1.07082	0.61789	-0.25906	-0.76981	-1.32875	-0.27834	0.11678	0.84918	0.77208	0.71426	-0.11451	-0.42289	
YLR048w	4	-1.58859	-0.32671	-0.01390	0.55305	1.66031	0.77522	0.42509	-0.74260	-0.19874	2.13129	0.10873	-0.22540	-0.57020	-1.17448	-1.52994	0.24203	0.47485	
YLR048w	4	-1.58859	-0.32671	-0.01390	0.55305	1.66031	0.77522	0.42509	-0.74260	-0.19874	2.13129	0.10873	-0.22540	-0.57020	-1.17448	-1.52994	0.24203	0.47485	
YLR075w	4	-0.57084	-0.30007	-0.08666	-0.31766	0.15046	-0.88904	-0.78272	-0.22740	-0.67716	3.48772	-0.02776	-0.03082	-0.55325	0.04337	-0.45917	0.82663	0.41435	
YLR092w	2	-0.26410	-0.38225	0.65156	1.83306	1.53768	2.39427	-0.11641	-0.64809	-0.76624	-0.85485	-0.58901	-0.61855	-0.14595	-0.94346	-0.47086	-0.52994	-0.08687	
YLR103c	1	-0.79051	0.14875	2.78991	1.00371	0.33740	-0.34897	-0.58981	-1.02331	-0.88283	0.53007	0.94752	0.80703	0.05242	-0.58981	-0.59382	-0.93501	-0.86276	
YLR167w	4	-0.41072	-0.62544	-0.03843	-0.41232	0.09618	-0.70556	-0.59072	-0.52609	-0.63185	3.61398	0.05291	-0.12335	-0.44063	-0.00424	-0.17730	0.51494	0.40864	
YLR185w	4	-0.44868	-0.37446	0.13212	-0.03001	0.03917	-0.91058	-0.76791	-0.52722	-0.68359	3.46922	0.13212	-0.21953	-0.63099	0.41028	-0.45589	0.76769	0.09826	
YLR212c	3	-1.64035	-0.33711	1.48408	0.36463	-0.53761	-0.60444	-0.85506	-0.37053	0.14742	0.73221	2.16911	1.43395	0.48159	-0.53761	-0.25357	-0.95531	-0.72140	
YLR233c	1	-0.26399	-0.36408	3.15605	0.65359	-0.51423	-0.09715	-0.71443	-0.44750	-0.66438	0.01963	1.30423	0.21982	-0.14720	0.21982	-0.39745	-1.18156	-0.78116	
YLR274w	1	-0.40461	0.15884	-0.17072	-1.13816	-1.05311	-0.87238	-0.67039	0.25452	1.79605	2.31698	1.10502	-0.04315	-0.52155	-0.90428	-0.72355	0.05253	0.81798	
YLR287c	4	-0.76385	0.88808	-1.80938	-0.68021	0.21895	-0.36655	0.53260	-0.97296	1.05537	-0.80567	-0.51292	-0.03198	1.59904	-0.19927	-0.88931	0.97173	1.76633	
YLR287c	4	-0.76385	0.88808	-1.80938	-0.68021	0.21895	-0.36655	0.53260	-0.97296	1.05537	-0.80567	-0.51292	-0.03198	1.59904	-0.19927	-0.88931	0.97173	1.76633	
YLR325c	4	-0.45536	-0.43331	0.20539	-0.35144	0.19279	-0.57606	-0.55560	-0.58026	-0.72196	3.58731	0.15763	-0.28689	-0.67683	0.11879	-0.38503	0.47462	0.28621	
YLR333c	4	0.43146	-0.94658	1.53942	-0.35114	-0.74433	-1.23047	-0.72549	-0.63378	-0.68152	2.81948	-0.24060	-0.16397	-0.38380	0.62241	-0.16774	0.43649	0.42016	
YLR340w	4	-1.05065	-0.39358	0.28267	-0.17254	0.09090	-0.57828	-0.61058	-0.78621	-0.46625	3.48728	-0.11803	-0.08674	-0.35522	0.36140	-0.39459	0.68943	0.10099	
YLR344w	4	0.79130	-0.31188	1.85673	-0.71876	-0.71037	-0.83621	-0.34963	-0.64745	-0.79006	-0.99141	0.47251	-1.06271	-0.25316	-0.58872	0.98844	1.21915	1.93223	
YLR367w	4	-1.37194	-0.33523	0.80572	-0.29469	-0.38736	-1.42985	-0.70590	1.15901	-0.92598	1.63971	-0.24257	-0.70590	-1.07656	1.33276	0.90997	0.67251	0.95630	
YLR388w	4	-0.70081	-0.32526	0.03044	0.24722	-0.32221	-1.07025	-0.90385	-1.29161	-0.30541	2.43639	-0.71607	-0.13749	0.52812	0.47621	-0.76034	1.41050	1.40440	
YLR388w	4	-0.70081	-0.32526	0.03044	0.24722	-0.32221	-1.07025	-0.90385	-1.29161	-0.30541	2.43639	-0.71607	-0.13749	0.52812	0.47621	-0.76034	1.41050	1.40440	
YLR406c	4	0.26679	-0.99489	1.19170	-0.49461	-0.81552	-1.21574	-0.45556	-0.37747	-0.57636	2.99393	-0.20298	-0.22739	-0.41774	-0.33476	0.30340	0.89397	0.46324	
YLR406c	4	0.26679	-0.99489	1.19170	-0.49461	-0.81552	-1.21574	-0.45556	-0.37747	-0.57636	2.99393	-0.20298	-0.22739	-0.41774	-0.33476	0.30340	0.89397	0.46324	
YLR438w	2	0.93365	-1.25820	-0.42681	-1.22041	1.42492	0.82028	0.82028	-0.35123	0.97144	1.91620	-1.56053	-0.88030	-0.35123	0.06447	-0.61576	-0.12449	-0.16228	
YLR439w	4	-0.10839	1.26144	-0.16900	-0.50843	-0.37508	0.48561	-0.82361	-1.73279	0.00071	2.27972	1.57662	0.43712	-0.20537	-0.03565	-1.36912	-0.30235	-0.41145	
YLR441c	4	-0.55759	-0.37527	-0.51430	-0.33448	-0.32698	-0.83232	-0.78987	-0.12801	-0.78154	3.41853	0.16087	-0.22125	-0.50431	0.80524	0.06680	0.58879	0.32571	
YLR448w	4	-0.53248	-0.59151	0.80050	-0.28126	-0.18379	-0.87019	-0.38697	-0.53248	-0.98139	3.35527	0.47103	-0.23321	-0.76311	0.42847	-0.17007	0.33375	0.13744	
YML009c	4	-0.29816	1.81044	-0.30627	-0.26978	0.12761	-0.84559	-1.14566	-1.73769	0.32225	1.14137	-0.66311	0.19249	-0.00215	-0.41981	-0.90236	1.64013	1.35628	
YML024w	4	-0.04248	-0.59782	0.49287	-0.36839	-0.67952	-0.67865	-0.39446	-0.78815	-0.78207	3.45382	0.32340	-0.21022	-0.41793	0.11917	-0.41445	0.61107	0.37381	
YML026c	4	-0.58447	-0.76004	0.44136	-0.46786	0.37408	-0.79592	-0.34612	-0.47619	-0.81578	3.34714	0.27284	-0.23014	-0.80425	0.47596	-0.52296	0.50031	0.39202	
YML063w	4	-0.52701	-0.30787	-0.05995	-0.41955	0.34039	-0.59092	-0.49048	-0.65553	-0.57406	3.58170	0.16621	-0.08102	-0.49610	-0.23624	-0.59373	0.57216	0.37199	
YML065w	1	-1.38641	0.39810	-0.66251	0.01089	2.45197	0.88631	-0.29214	-1.36958	0.88631	0.04456	-1.08338	-0.51099	0.02773	-0.51099	-0.39315	1.44187	0.06140	
YML073c	4	-0.66916	-0.82297	0.68108	-0.27873	-0.22549	-0.85994	-0.44289	-0.34528	-0.75494	3.39930	0.14572	-0.24767	-0.61148	0.43706	-0.21366	0.60713	0.20191	
YML102w	1	-0.55689	0.20787	2.76585	1.05174	-0.26022	-0.62282	-0.81401	-0.85357	-0.56349	1.39456	0.74847	0.34631	-0.41185	-0.04266	-0.78105	-0.68875	-0.91949	
YMR001c	1	-1.36982	-1.25043	-1.35192	-0.96390	-0.57588	0.30760	1.39405	1.71044	0.98216	-0.46246	-0.57588	-0.67736	0.05092	0.06286	0.71353	1.07767	0.92843	
YMR024w	4	-0.09407	-0.36060	-0.69820	-1.36452	-2.11080	-0.78704	0.01254	-0.94696	0.43899	1.49622	0.56337	0.98093	0.82101	0.41234	-0.61824	0.95428	1.30076	
YMR042w	2	-0.56862	1.10246	0.53686	0.53686	0.48544	1.38525	0.76824	0.25406	-0.46578	-0.02873	-1.13421	-2.11115	-0.90283	1.23100	0.33119	0.20265	-1.62268	
YMR072w	1	-0.59803	-1.02348	-1.38814	-0.71959	-2.15063	0.94352	1.18663	-0.92402	-0.03445	0.67831	0.80539	-0.18916	0.26944	1.21426	0.12578	1.03745	0.76671	
YMR117c	3	-0.37466	3.23052	-0.08624	0.51462	1.25969	0.10603	-0.11028	-0.42272	-0.30255	-1.02359	-0.39869	-0.01414	0.32234	-0.87938	-0.73517	-0.37466	-0.71114	
YMR121c	4	0.58021	-1.37527	0.31506	-0.62622	-1.15653	-0.63948	-0.06278	-0.60634	-0.46050	3.09252	0.28192	-0.40085	-0.13569	0.32832	-0.42073	0.55370	0.73267	
YMR143w	4	0.01662	-0.44437	-0.02247	-0.22676	-0.01980	-0.79167	-0.55451	0.46695	-1.44896	3.04102	0.51224	-0.86184	-1.20114	0.66946	0.14274	0.55221	0.17028	
YMR143w	4	0.01662	-0.44437	-0.02247	-0.22676	-0.01980	-0.79167	-0.55451	0.46695	-1.44896	3.04102	0.51224	-0.86184	-1.20114	0.66946	0.14274	0.55221	0.17028	
YMR188c	4	-0.86948	0.86237	-1.52194	-1.23598	-0.45867	-0.55935	-1.00641	-0.44256	-0.19285	1.53497	0.35490	0.52808	-0.00355	-0.28145	-0.17674	1.73634	1.73232	
YMR194w	4	-0.43486	-0.72015	1.04660	0.03965	-0.15764	-0.36519	-0.34099	-0.01389	-1.24087	2.71068	0.61830	-1.00765	-1.14112	1.38103	-0.10630	0.30147	-0.56907	
YMR198w	3	-1.76320	-1.06307	-1.98199	-0.49421	0.68726	0.84042	0.29344	0.92793	0.46847	-0.60361	-0.73488	0.07465	1.49679	0.40283	0.07465	1.38739	-0.01287	
YMR225c	4	0.76039	1.91052	-1.91342	-0.51753	-0.55685	0.68175	0.87836	1.28139	-0.38974	-1.12700	0.53430	-0.19313	-0.79278	-0.30127	-1.06802	-0.19313	1.00615	
YMR230w	4	-0.03736	-0.43245	0.52695	-0.23349	0.13257	-1.04987	-0.58964	-0.79426	-0.59459	3.18143	-0.25827	0.13045	-0.30713	-0.24411	-1.09731	1.02684	0.64024	
YMR242c	4	-0.95349	-0.43688	0.60051	0.06090	-1.13964	-0.50800	-0.89493	-0.82800	-0.42433	3.08525	0.60888	-0.46407	-0.36995	0.82222	0.15711	0.08182	0.60261	
YMR284w	1	1.15391	-1.12010	-2.21961	-0.72027	-0.99515	-0.47038	-0.09555	-0.29546	0.82905	-0.17051	0.32927	1.37881	-0.09555	0.67911	0.80406	-0.57034	1.57872	
YMR286w	4	0.63119	1.21894	-0.54799	-0.82718	-0.87860	-0.49656	-0.39738	-0.59942	-0.48554	0.30058	-0.14391	1.73690	-0.87126	-0.77942	-0.36799	2.59281	-0.08514	
YMR294w	3	-0.32784	-0.06013	-1.48387	-0.66857	-0.21832	-0.35218	0.96205	1.35145	0.07373	-1.14315	-1.17965	0.49963	-1.02146	0.08590	0.45096	2.38579	0.64566	
YNL067w	4	-1.02539	-0.54341	-0.51931	-0.25422	0.07915	-1.02941	-0.49521	-0.64382	-0.21807	2.87465	1.18369	-1.13384	-0.04536	1.07123	0.34424	-0.18594	0.54105	
YNL088w	1	-1.91252	-1.02562	-0.16896	-0.26974	1.78624	-0.43100	-0.21935	-1.03570	-0.20927	0.31480	1.09084	1.05052	1.17146	1.18154	0.33496	-0.82406	-0.83413	
YNL096c	4	-1.35297	-0.61833	0.99437	-0.08916	0.49040	-1.11261	-0.38185	-0.42644	-0.96724	2.85519	0.29463	0.55243	-0.68811	0.22872	-0.30044	0.87419	-0.35278	
YNL096c	4	-1.35297	-0.61833	0.99437	-0.08916	0.49040	-1.11261	-0.38185	-0.42644	-0.96724	2.85519	0.29463	0.55243	-0.68811	0.22872	-0.30044	0.87419	-0.35278	
YNL102w	1	-0.67616	-0.18785	2.34156	1.47238	-0.05113	-0.50037	-0.91054	-1.13516	-0.79335	-0.04136	1.47238	0.84735	0.46647	-0.08043	-0.56873	-0.98867	-0.66639	
YNL126w	3	-0.33677	-0.25877	0.38082	1.16081	1.25441	1.80040	0.64601	-0.63317	-1.08556	-1.67835	-0.83596	-0.16517	1.12961	0.73961	-0.05598	-1.13236	-0.92956	
YNL142w	2	-0.70233	-0.84203	-1.09219	-0.98823	-1.02722	-0.84528	-0.63410	-0.63085	-0.19226	-0.31246	0.00268	0.40878	1.20476	1.47116	1.30547	1.82854	1.04556	
YNL252c	4	-0.32680	-0.02435	-1.77541	-1.41724	-0.83621	-1.13070	-0.83621	-1.06703	0.38954	1.07405	1.04221	1.36855	0.38158	0.85915	0.80343	0.79547	0.69996	
YNL290w	1	-0.13221	0.99920	0.14300	0.58639	-0.60617	-0.78965	-0.40741	-1.72229	0.06655	0.38763	1.48845	2.17647	0.72399	-0.36155	-0.51444	-1.46237	-0.57560	
YNL301c	4	-0.90331	0.60046	1.79837	0.44116	-0.51781	-0.86189	-0.44135	-0.63888	-0.47958	2.33680	-0.42860	-0.25338	-0.50188	-0.45409	-1.12633	1.45429	-0.02399	
YNL302c	4	-0.73748	-0.28973	-0.01123	-0.56405	-0.16966	-0.90341	-0.72164	-0.74082	-0.52486	3.32403	0.70501	0.14803	-0.56822	0.05714	-0.16132	0.94849	0.20973	
YNL306w	4	-0.94446	-0.15548	-1.46520	-1.59932	-0.36850	-1.37841	-0.03713	-0.58153	0.07333	1.80121	1.09901	1.20947	-0.13181	0.57039	0.39681	1.22525	0.28636	
YNL312w	1	-0.60220	-0.09881	2.22014	1.25863	0.22641	-0.50605	-0.99529	-1.22436	-0.96135	0.35932	1.17096	1.44245	0.17267	-0.20062	-0.61917	-0.75208	-0.89065	
YNR036c	4	-0.36289	-0.13532	-0.79330	-1.27813	-1.14456	-1.26329	-0.92193	-0.88730	-0.12048	0.84918	0.87392	1.24991	-0.17985	0.70571	0.56719	2.16020	0.68097	
YOL039w	4	-0.78156	0.12941	-0.57943	-0.47609	-0.18241	-0.96285	-0.66463	-0.63653	-0.71539	2.77801	0.66783	0.23637	-0.60662	-0.03194	0.07865	1.96222	-0.21504	
YOL040c	4	-0.53193	-0.23640	-0.80933	-0.40786	0.08142	-0.85533	-0.57096	-0.62044	-0.65111	3.32592	0.75123	0.18528	-0.61766	0.00615	-0.02870	0.96103	0.01870	
YOL058w	2	-1.36206	-0.54055	0.02278	-0.10240	-0.44275	-0.79091	-0.66573	-0.63443	-0.53663	-0.43492	-0.67355	-0.48969	0.65261	1.29027	0.64088	2.37389	1.69320	
YOL069w	3	-1.02006	-1.62852	-1.39190	-0.54682	-0.51301	1.07574	1.44757	1.65039	0.83911	-0.71583	-0.41160	-1.05386	0.39967	0.39967	0.60249	0.06164	0.80531	
YOL127w	4	-0.83471	-0.36291	0.51273	-0.59961	0.28482	-0.95146	-0.57082	-0.58761	-1.01943	3.16122	0.80061	0.07291	-0.90508	0.26803	-0.05664	0.45755	0.33040	
YOR167c	4	-0.36482	-0.05414	0.35835	-0.36308	0.00986	-0.76394	-0.70634	-0.61500	-0.70169	3.40350	0.28272	-0.46780	-0.69936	-0.20483	-0.30839	1.06001	0.13494	
YOR167c	4	-0.36482	-0.05414	0.35835	-0.36308	0.00986	-0.76394	-0.70634	-0.61500	-0.70169	3.40350	0.28272	-0.46780	-0.69936	-0.20483	-0.30839	1.06001	0.13494	
YOR234c	4	-0.54810	-0.04437	0.33589	-0.60447	-0.06137	-0.68947	-0.48010	-0.47742	-0.81115	3.47639	0.41552	-0.32263	-0.79057	0.01289	-0.31458	0.70631	0.19721	
YOR293w	4	-0.39085	-0.10001	0.60269	-0.15271	0.39872	-0.71487	-0.44746	-0.54213	-0.90324	3.41741	0.60757	-0.78612	-0.69438	-0.20737	-0.45722	0.21816	0.15179	
YOR293w	4	-0.39085	-0.10001	0.60269	-0.15271	0.39872	-0.71487	-0.44746	-0.54213	-0.90324	3.41741	0.60757	-0.78612	-0.69438	-0.20737	-0.45722	0.21816	0.15179	
YOR293w	4	-0.39085	-0.10001	0.60269	-0.15271	0.39872	-0.71487	-0.44746	-0.54213	-0.90324	3.41741	0.60757	-0.78612	-0.69438	-0.20737	-0.45722	0.21816	0.15179	
YOR312c	4	-0.88108	-0.05672	0.90050	-0.19668	-0.51555	-0.98029	-0.62184	-0.55216	-1.17575	1.81579	0.00292	-0.05023	-0.78601	0.23971	0.01591	2.65727	0.18421	
YOR330c	1	-1.17594	-1.07063	-0.57919	0.22817	1.15839	1.77268	1.00042	0.93022	0.00000	-0.07021	-0.94777	-0.28082	0.31592	-2.26412	0.56164	0.45633	-0.03510	
YOR369c	4	-0.56004	-0.54711	-0.12606	-0.39291	-0.00141	-0.90445	-0.63021	-0.63391	-0.54619	3.46854	0.83514	-0.20547	-0.47878	0.22112	-0.02265	0.02259	0.50181	
YOR373w	3	-1.47758	-1.30922	2.41147	0.94676	0.55954	0.32384	-0.56845	-0.93884	-0.70314	0.49220	0.17232	0.91309	0.74473	0.35751	-0.23174	-0.83782	-0.85466	
YPL013c	4	0.19587	1.41498	0.84128	-0.76985	-0.38978	-0.87025	-0.66945	-0.70531	-1.27662	1.55123	0.31061	0.50184	-1.28618	-0.63121	-0.44715	2.03170	0.19826	
YPL081w	4	-0.64795	-0.29899	-0.04013	-0.52782	-0.15740	-0.77095	-0.92254	-0.62078	-0.39195	3.01615	0.24734	0.15437	-0.53640	-0.03727	-0.31329	1.90490	-0.05729	
YPL090c	4	-0.71523	-0.61645	0.41974	-0.28783	0.28392	-0.83395	-0.66774	-0.61550	-0.61360	3.27188	1.16531	-0.44834	-0.55947	0.11677	-0.30493	-0.02760	0.43304	
YPL124w	3	-1.15269	-1.33599	2.00022	0.38710	0.46959	0.48792	-0.50194	-1.02437	-1.01520	0.16713	1.41363	1.36780	0.50625	0.35044	-0.51111	-1.04270	-0.56610	
YPL143w	4	-0.57264	-0.15555	0.29153	-0.29639	-0.08649	-0.81162	-0.57991	-0.68531	-0.65715	3.50558	0.57959	-0.13828	-0.66260	-0.12374	-0.23460	0.64592	-0.01833	
YPL173w	4	1.63268	-1.17406	-0.58703	-0.27517	-1.13738	0.14676	-0.75214	-0.31186	0.22014	1.08234	0.82551	-1.66937	0.33021	0.40358	0.20179	-0.88055	1.94455	
YPL198w	4	-1.17792	0.99513	0.64125	-0.54757	-0.20199	-0.53651	-0.57798	-0.25728	-0.38445	2.72029	0.12425	-0.35128	-0.62498	-0.65539	-0.60563	1.78583	-0.34575	
YPL198w	4	-1.17792	0.99513	0.64125	-0.54757	-0.20199	-0.53651	-0.57798	-0.25728	-0.38445	2.72029	0.12425	-0.35128	-0.62498	-0.65539	-0.60563	1.78583	-0.34575	
YPL249c	4	2.22807	-0.86328	-2.09982	-1.31885	-0.08231	-0.14739	-0.83074	-0.27755	0.17802	0.63358	0.50342	-0.14739	0.08039	-0.44025	0.53596	1.18677	0.86137	
YPL255w	3	-1.89264	-0.30000	1.97264	-0.13895	0.25474	0.64842	0.05789	0.27263	-0.94421	-1.35579	0.39790	1.36422	0.21895	-0.55053	-0.44316	1.32843	-0.89053	
YPL256c	1	-1.00453	1.16378	2.76002	0.57880	-0.13536	-0.33466	-0.46384	-0.65207	-1.26658	-0.36603	0.55111	1.17116	0.08424	-0.27746	-0.55795	-0.22394	-1.02668	
YPR003c	2	0.25128	-1.88459	-0.04675	0.20161	-0.64281	-0.54346	-0.04675	0.89701	1.24471	1.14537	1.49307	-0.74215	0.30095	-0.49379	0.30095	-2.08328	0.64865	
YPR018w	1	0.35913	0.66168	2.98119	0.92543	-0.66487	-0.51748	-0.99069	-0.99844	-0.29251	0.76252	0.72374	-0.23045	-0.09081	-0.65711	-0.68814	-0.74245	-0.54075	
YPR019w	1	-0.74382	-0.93650	0.03896	-0.76790	-0.65952	-0.40662	-0.35845	1.11077	1.29141	2.33913	0.91809	-1.05693	-0.79199	-0.86425	-0.14168	-0.18985	1.21915	
YPR043w	4	-0.26316	0.36296	0.81623	-0.23051	0.18242	-0.72092	-0.54358	-0.70747	-0.83615	3.32330	0.11008	-0.75357	-0.96548	-0.27597	-0.26316	0.51853	0.24644	
YPR102c	4	-0.81768	-0.32727	0.18364	-0.51922	-0.02711	-0.75104	-0.44745	-0.43663	-0.85242	3.28783	0.54646	-0.55169	-0.68725	0.30496	-0.10001	1.11547	0.07941	
YPR120c	1	-0.52357	0.09400	2.78305	0.54817	-0.25494	-0.38510	-0.78666	-0.52080	-0.81990	1.26267	1.58945	-0.29925	-0.28818	-0.26048	-0.67035	-0.79497	-0.67312	
YPR135w	1	-0.36814	0.18898	2.75173	0.30041	-0.59098	-0.53527	-0.27528	-0.94383	-0.88811	-0.53527	2.13890	-0.03386	0.11470	-0.66527	-0.29385	0.20755	-0.57241	
YPR141c	3	-0.64054	-0.85859	0.85859	2.27596	1.55365	1.39011	0.16354	-0.50425	-0.92674	-1.00851	-0.62691	-0.42248	0.43611	0.23168	-0.13628	-0.94037	-0.84497	
YPR167c	2	-1.13289	-0.81416	-0.72684	-0.00642	1.49117	1.08948	-0.03262	-0.54346	-0.98880	-1.32500	-0.95388	-0.63951	-0.14177	0.85371	1.22483	1.41258	1.23357	
YPR175w	1	-0.22573	1.00572	2.70592	0.52109	-0.42435	-0.63886	-0.56735	-0.87720	-0.71036	1.08517	1.27585	-0.42435	-0.10655	-0.17011	-0.78186	-1.09171	-0.57530	
